org_id,team_name,conference,division,vendor,conference_url,team_url,vendor_confidence,last_verified_utc,notes
423624,Ohio Valley,G-MAC,D2,unknown,https://greatmidwestsports.com/sports/mlax,,low,,University closed 2021
594159,Seton Hill,G-MAC,D2,unknown,https://greatmidwestsports.com/sports/mlax,https://athletics.setonhill.edu/sports/mens-lacrosse,low,,
594076,Tiffin,G-MAC,D2,unknown,https://greatmidwestsports.com/sports/mlax,https://gotiffindragons.com/sports/mens-lacrosse,low,,
594161,Walsh,G-MAC,D2,unknown,https://greatmidwestsports.com/sports/mlax,https://athletics.walsh.edu/sports/mens-lacrosse,low,,
594109,Wheeling,G-MAC,D2,unknown,https://greatmidwestsports.com/sports/mlax,https://wucardinals.com/sports/mens-lacrosse,low,,
594237,Lewis,GLVC,D2,unknown,https://glvcsports.com/sports/mlax,https://lewisflyers.com/sports/mens-lacrosse,low,,
530123,Lindenwood,GLVC,D2,unknown,https://glvcsports.com/sports/mlax,,low,,Men lacrosse discontinued at Lindenwood
594094,Maryville (MO),GLVC,D2,unknown,https://glvcsports.com/sports/mlax,https://maryvillesaints.com/sports/mens-lacrosse,low,,
594211,Quincy,GLVC,D2,unknown,https://glvcsports.com/sports/mlax,https://quhawks.com/sports/mens-lacrosse,low,,
594130,Rockhurst,GLVC,D2,unknown,https://glvcsports.com/sports/mlax,https://rockhursthawks.com/sports/mens-lacrosse,low,,
594091,UIndy,GLVC,D2,unknown,https://glvcsports.com/sports/mlax,https://athletics.uindy.edu/sports/mens-lacrosse,low,,
594231,William Jewell,GLVC,D2,unknown,https://glvcsports.com/sports/mlax,https://jewellcardinals.com/sports/mens-lacrosse,low,,
594247,Adelphi,NE10,D2,unknown,https://northeast10.org/sports/mlax,https://aupanthers.com/sports/mens-lacrosse,low,,
594196,American Int'l,NE10,D2,unknown,https://northeast10.org/sports/mlax,https://aicyellowjackets.com/sports/mens-lacrosse,low,,
594199,Assumption,NE10,D2,unknown,https://northeast10.org/sports/mlax,https://assumptiongreyhounds.com/sports/mens-lacrosse,low,,
594078,Bentley,NE10,D2,unknown,https://northeast10.org/sports/mlax,https://bentleyfalcons.com/sports/mens-lacrosse,low,,
