academic_year,division,org_id,schedule_difficulty_score,schedule_difficulty_rank,wins,losses,ties,games_played,wp,opp_wp,opp_opp_wp,rpi,team_name,conference,record,assists_per_game,caused_turnovers_per_game,clearing_percentage,face_off_winning_percentage,ground_balls_per_game,man_down_defense,man_up_offense,opponent_clear_percentage,points_per_game,saves_per_game,scoring_defense,scoring_margin,scoring_offense,shot_percentage,turnovers_per_game,winning_percentage,sos_avg_opp_win_pct,sos_avg_opp_offense,sos_avg_opp_defense,sos_std_opp_win_pct,sos_stats_rank
2014,1,103535,0.5652411997844625,6,12,16,0,28,0.4285714285714285,0.572917021059436,0.5201150584085364,0.5236301322747092,Ohio St.,ECAC,6-8,6.07,6.64,0.918,0.455,28.0,0.611,0.255,,15.29,8.93,8.57,0.64,9.21,0.287,14.14,0.429,0.5673076923076923,16.12923076923077,9.641538461538461,0.1621572762737482,6
2014,1,103537,0.594650699613747,2,22,8,0,30,0.7333333333333333,0.6017919106463998,0.534874757974115,0.617947978150062,Penn,Ivy League,11-4,5.87,6.87,0.873,0.484,30.67,0.74,0.349,,16.47,11.0,9.27,1.33,10.6,0.291,17.73,0.733,0.5961538461538461,17.433846153846154,10.103076923076923,0.17984388364692053,2
2014,1,103536,0.5575638630231748,13,14,12,0,26,0.5384615384615384,0.5584266713017606,0.5528468300050343,0.5520404277675235,Penn St.,CAA,7-6,5.0,7.62,0.884,0.6,30.15,0.667,0.35,,15.31,10.62,8.92,1.38,10.31,0.289,14.0,0.538,0.5585384615384615,16.546923076923076,9.902307692307694,0.20222744825666558,13
2014,1,103538,0.5652411997844625,6,14,12,0,26,0.5384615384615384,0.5663264023558141,0.5214060749606946,0.5481301045334652,Princeton,Ivy League,7-6,7.46,6.31,0.886,0.46,28.62,0.791,0.512,,19.46,11.0,10.92,1.08,12.0,0.301,12.08,0.538,0.5663846153846154,16.45846153846154,9.736153846153847,0.16821256628332287,7
2014,1,103539,0.5006439737748386,31,8,22,0,30,0.2666666666666666,0.4999010346378768,0.487135217874103,0.4384009884541308,Providence,Big East,4-11,4.0,7.93,0.844,0.391,27.93,0.648,0.396,,12.53,10.93,10.73,-2.2,8.53,0.246,15.67,0.267,0.49993333333333323,16.20266666666667,10.277999999999999,0.18399328490162048,31
2014,1,103540,0.46514023595275833,44,12,16,0,28,0.4285714285714285,0.4654911964785914,0.4749063622644556,0.4586150459482667,Quinnipiac,MAAC,6-8,6.93,6.57,0.864,0.501,30.71,0.542,0.365,,17.5,13.86,11.07,-0.5,10.57,0.295,16.21,0.429,0.4655,15.224285714285713,10.212142857142856,0.1882668129467933,44
2014,1,103541,0.4352352277357464,56,12,22,0,34,0.3529411764705882,0.4465626069432297,0.4383822003221762,0.421112147669806,Richmond,ASUN,6-11,5.0,8.76,0.878,0.362,29.29,0.639,0.288,,14.0,10.35,10.47,-1.47,9.0,0.272,17.18,0.353,0.4353333333333333,15.316,11.024000000000001,0.21270971351168289,56
2014,1,103542,0.4909328592300994,34,10,18,0,28,0.3571428571428571,0.4912620176275638,0.479387278813582,0.4547635428028916,Robert Morris,NEC,5-9,4.71,10.14,0.835,0.387,29.07,0.7,0.364,,13.86,10.79,11.57,-2.43,9.14,0.251,14.86,0.357,0.49135714285714277,14.92,10.14642857142857,0.22728698257704857,34
2014,1,103543,0.4349258478078456,57,16,16,0,32,0.5,0.4598769264790937,0.5051519371715782,0.4812264475324413,Rutgers,Big East,8-8,7.44,6.06,0.878,0.577,32.56,0.638,0.261,,19.56,11.5,11.19,0.94,12.13,0.314,15.0,0.5,0.4344,15.690666666666665,10.660666666666666,0.22783116555906044,57
2014,1,103544,0.3738853110854813,64,12,18,0,30,0.4,0.3990720390720391,0.4650463490631727,0.4157976068018127,Sacred Heart,NEC,6-9,6.27,7.27,0.893,0.412,26.4,0.667,0.294,,16.4,12.27,11.67,-1.53,10.13,0.277,15.27,0.4,0.3732857142857142,14.10642857142857,10.972142857142856,0.19932938589589005,64
2014,1,103546,0.38260860155517346,61,22,8,0,30,0.7333333333333333,0.3777276209629152,0.4901235070461132,0.4947280205763192,Saint Joseph's,NEC,11-4,5.0,8.87,0.869,0.499,28.47,0.793,0.241,,16.13,10.07,8.2,2.93,11.13,0.295,14.2,0.733,0.38100000000000006,13.447142857142856,10.760714285714284,0.2367678187592224,62
2014,1,103547,0.46206839231268465,47,22,12,0,34,0.6470588235294118,0.4579131652661065,0.4916193597488267,0.5136261284526129,Siena,MAAC,11-6,6.0,5.65,0.884,0.58,31.47,0.447,0.411,,16.18,11.12,9.82,0.35,10.18,0.253,14.71,0.647,0.4613333333333333,15.629333333333333,10.556000000000003,0.1831722929072213,47
2014,1,103545,0.5228492886271014,23,14,14,0,28,0.5,0.5242826955343541,0.5278460922256089,0.5191028708235793,St. John's (NY),Big East,7-7,6.64,7.21,0.9,0.412,27.57,0.538,0.414,,18.07,11.71,11.93,-0.5,11.43,0.301,11.93,0.5,0.5243571428571429,16.50785714285714,10.483571428571429,0.20034563246794174,23
2014,1,103548,0.5018850486912354,30,12,20,0,32,0.375,0.5124003447532859,0.4815244573056704,0.4703312867030605,Stony Brook,America East,6-10,7.31,3.63,0.839,0.61,33.06,0.689,0.491,,18.94,10.44,12.19,-0.56,11.63,0.373,14.63,0.375,0.5022,17.018666666666668,10.7,0.17908850698281376,30
2014,1,103549,0.6339295861055502,1,22,10,0,32,0.6875,0.6501772584033614,0.5520542639195429,0.6349771951815664,Syracuse,ACC,11-5,8.0,6.81,0.863,0.467,29.44,0.613,0.431,,21.0,11.44,11.69,1.31,13.0,0.353,12.13,0.688,0.6349285714285715,18.131428571428568,9.667142857142858,0.12845925662343255,1
2014,1,103550,0.5262057227056925,21,16,14,0,30,0.5333333333333333,0.538621046709282,0.520884597057158,0.5328650059522638,Towson,CAA,8-7,4.53,5.8,0.883,0.402,24.47,0.736,0.308,,13.0,9.6,9.73,-1.27,8.47,0.257,12.0,0.533,0.5255714285714286,15.614999999999998,9.803571428571429,0.20965642448189037,22
2014,1,103494,0.5850739331288695,5,24,12,0,36,0.6666666666666666,0.5697210650642024,0.5112195434940646,0.579332085072284,UAlbany,America East,12-6,9.39,7.72,0.892,0.41,29.33,0.609,0.471,,25.33,13.56,11.33,4.61,15.94,0.378,13.39,0.667,0.5841875,17.18375,9.979375,0.1421676909278265,5
2014,1,103526,0.4435649689272657,53,16,14,0,30,0.5333333333333333,0.4593174962292609,0.4896714837750319,0.4854099523917218,UMBC,America East,8-7,6.73,5.8,0.861,0.582,33.07,0.593,0.41,,18.93,11.53,11.93,0.27,12.2,0.317,13.4,0.533,0.44299999999999995,15.508461538461537,10.417692307692308,0.21461880339157324,53
