academic_year,division,team_name,org_id,conference,record,assists_per_game,caused_turnovers_per_game,clearing_percentage,face_off_winning_percentage,ground_balls_per_game,man_down_defense,man_up_offense,opponent_clear_percentage,points_per_game,saves_per_game,scoring_defense,scoring_margin,scoring_offense,shot_percentage,turnovers_per_game,winning_percentage
2014,2,Southern N.H.,468,,7-8,,,,,,,,,,15.13,,,,,,
2014,2,New York Tech,477,,12-4,7.63,10.5,,0.551,31.31,0.84,0.444,,19.25,11.06,7.13,4.5,11.63,0.311,,0.75
2014,2,Pace,533,,5-7,6.33,,,0.595,31.92,,,,16.75,12.5,,,,0.287,,
2014,2,Pfeiffer,542,,9-5,6.71,9.57,,,32.93,,,,18.57,11.14,,,11.86,0.303,15.93,0.643
2014,2,Bentley,56,,8-7,,7.4,,,,0.765,0.364,,,11.4,8.2,,,,,
2014,2,Rollins,584,,6-9,5.93,9.73,,0.604,33.0,,,,16.07,,,,,,,
2014,2,Saint Anselm,593,,6-9,5.47,8.6,,0.549,35.73,,,,,,,,,,,
2014,2,Saint Leo,608,,8-7,,,,0.662,30.67,0.737,0.362,,,,8.2,,,,14.73,
2014,2,Saint Michael's,613,,4-10,,8.5,,,31.29,,,,,12.21,,,,,,
2014,2,Tampa,689,,16-3,7.74,7.63,,0.605,35.95,,,,21.84,,7.79,6.32,14.11,0.331,15.32,0.842
2014,2,Adams St.,929,,4-8,,10.08,,,,0.725,,,,,,,,,16.0,
2014,2,Alderson Broaddus,934,,0-14,,7.29,,,,,,,,16.29,,,,,,
2015,1,Air Force,105982,ECAC,0-1,3.0,9.0,0.824,0.417,28.0,0.25,0.333,,10.0,13.0,13.0,7.0,7.0,0.219,17.0,
2015,1,Army West Point,105983,Patriot,2-0,10.5,14.0,0.903,0.706,37.0,0.571,0.333,,28.5,6.0,5.0,36.0,18.0,0.419,14.0,
2015,1,Bellarmine,105924,SoCon,0-1,5.0,6.0,0.813,0.393,29.0,0.5,,,14.0,12.0,16.0,9.0,9.0,0.281,17.0,
2015,1,Boston U.,105926,Patriot,1-0,9.0,13.0,0.706,0.679,37.0,0.5,0.714,,27.0,12.0,6.0,18.0,18.0,0.346,20.0,
2015,1,Bryant,105928,NEC,0-1,4.0,9.0,0.571,0.722,34.0,,1.0,,9.0,10.0,9.0,5.0,5.0,0.185,21.0,
2015,1,Bucknell,105929,Patriot,0-1,4.0,7.0,0.714,0.48,26.0,0.25,1.0,,15.0,7.0,12.0,11.0,11.0,0.275,10.0,
2015,1,Colgate,105931,Patriot,1-0,3.0,7.0,0.682,0.278,22.0,,1.0,,12.0,11.0,5.0,9.0,9.0,0.273,15.0,
2015,1,Delaware,105934,CAA,1-1,8.0,4.0,0.84,0.434,23.0,0.429,0.5,,19.0,10.0,13.0,22.0,11.0,0.328,11.5,
2015,1,Detroit Mercy,105936,MAAC,1-0,6.0,12.0,0.905,0.19,30.0,0.8,,,15.0,14.0,8.0,9.0,9.0,0.3,14.0,
2015,1,Duke,105938,ACC,2-0,8.0,7.5,0.9,0.596,36.5,0.375,0.429,,22.5,9.0,10.0,29.0,14.5,0.33,15.5,
2015,1,Furman,105940,SoCon,0-1,3.0,4.0,0.762,0.48,27.0,0.5,,,7.0,13.0,19.0,4.0,4.0,0.129,21.0,
2015,1,High Point,105991,SoCon,1-1,8.5,6.5,0.871,0.508,27.0,0.778,0.6,,22.5,15.5,13.0,28.0,14.0,0.412,11.0,
2015,1,Johns Hopkins,105948,Big Ten,1-1,5.5,6.0,0.844,0.595,33.5,1.0,0.364,,16.0,8.0,5.5,21.0,10.5,0.269,13.0,
2015,1,Lehigh,105950,Patriot,0-1,6.0,7.0,0.944,0.478,30.0,0.333,0.5,,15.0,8.0,10.0,9.0,9.0,0.257,10.0,
2015,1,Loyola Maryland,105952,Patriot,0-1,6.0,5.0,0.938,0.679,38.0,1.0,,,18.0,9.0,13.0,12.0,12.0,0.316,14.0,
2015,1,Manhattan,105953,MAAC,0-1,,1.0,0.917,0.375,24.0,0.625,0.143,,3.0,9.0,19.0,3.0,3.0,0.115,12.0,
2015,1,Marquette,105955,Big East,1-0,8.0,5.0,0.733,0.522,27.0,0.5,0.667,,18.0,10.0,9.0,10.0,10.0,0.357,11.0,
2015,1,Massachusetts,105958,CAA,0-1,4.0,8.0,0.824,0.273,18.0,0.8,0.333,,11.0,12.0,12.0,7.0,7.0,0.412,14.0,
2015,1,Mercer,105959,SoCon,0-1,3.0,9.0,0.889,0.321,31.0,0.286,0.5,,9.0,15.0,18.0,6.0,6.0,0.207,20.0,
2015,1,Michigan,105960,Big Ten,1-0,7.0,13.0,0.938,0.607,36.0,1.0,0.5,,23.0,12.0,9.0,16.0,16.0,0.421,13.0,
2015,1,Navy,105984,Patriot,1-0,14.0,8.0,0.909,0.719,44.0,1.0,,,35.0,7.0,7.0,21.0,21.0,0.438,16.0,
2015,1,North Carolina,105963,ACC,1-0,10.0,8.0,0.947,0.52,45.0,1.0,0.5,,29.0,7.0,4.0,19.0,19.0,0.365,11.0,
2015,1,Ohio St.,105966,Big Ten,1-1,6.5,6.0,0.844,0.78,33.0,1.0,0.444,,15.5,10.5,7.5,18.0,9.0,0.254,17.5,
2015,1,Penn St.,105967,Big Ten,1-0,9.0,2.0,1.0,0.519,33.0,1.0,0.5,,24.0,15.0,8.0,15.0,15.0,0.375,6.0,
2015,1,Richmond,105972,SoCon,1-0,3.0,8.0,0.875,0.222,24.0,0.667,,,12.0,15.0,5.0,9.0,9.0,0.273,14.0,
2015,1,Robert Morris,105973,NEC,0-1,3.0,5.0,0.933,0.25,17.0,0.25,,,9.0,9.0,10.0,6.0,6.0,0.231,11.0,
2015,1,Rutgers,105974,Big Ten,1-0,8.0,5.0,0.938,0.545,26.0,0.5,1.0,,18.0,11.0,8.0,10.0,10.0,0.244,11.0,
2015,1,Saint Joseph's,105977,NEC,0-1,2.0,4.0,0.526,0.778,27.0,1.0,0.333,,7.0,11.0,9.0,5.0,5.0,0.122,20.0,
2015,1,Siena,105978,MAAC,0-1,3.0,3.0,0.727,0.167,20.0,0.5,,,10.0,13.0,21.0,7.0,7.0,0.304,14.0,
2015,1,St. John's (NY),105976,Big East,0-1,4.0,10.0,0.895,0.455,29.0,,0.5,,12.0,13.0,10.0,8.0,8.0,0.195,11.0,
2015,1,Stony Brook,105979,America East,1-0,11.0,7.0,0.929,0.625,35.0,0.857,0.375,,30.0,13.0,3.0,19.0,19.0,0.422,10.0,
2015,1,Syracuse,105980,ACC,1-0,14.0,6.0,0.944,0.833,43.0,1.0,0.5,,35.0,8.0,7.0,21.0,21.0,0.42,16.0,
2015,1,Towson,105981,CAA,1-0,4.0,5.0,0.882,0.533,25.0,1.0,,,11.0,12.0,5.0,7.0,7.0,0.206,11.0,
2015,1,UMBC,105956,America East,0-1,2.0,9.0,0.842,0.318,23.0,0.429,,,6.0,16.0,16.0,4.0,4.0,0.174,15.0,
2015,1,VMI,105987,SoCon,0-2,1.5,7.5,0.66,0.295,26.0,0.75,0.4,,6.5,13.0,22.5,10.0,5.0,0.27,24.0,
2015,1,Vermont,105985,America East,0-1,1.0,2.0,0.833,0.481,26.0,0.5,,,9.0,9.0,15.0,8.0,8.0,0.178,7.0,
2015,1,Virginia,105988,ACC,1-0,10.0,5.0,0.81,0.321,27.0,1.0,,,23.0,9.0,12.0,13.0,13.0,0.302,12.0,
2015,2,Catawba,1001,,5-10,5.2,4.27,0.836,0.663,31.6,0.594,0.429,,14.67,10.33,11.33,,9.47,0.263,17.73,0.333
2015,2,Coker,1023,,9-5,5.21,6.5,0.866,0.436,31.29,0.6,0.254,,16.14,11.0,10.57,,10.93,0.33,16.36,0.643
2015,2,Colorado Mesa,11416,,9-3,7.75,7.75,0.869,0.54,29.67,0.741,0.339,,22.0,10.5,9.67,4.58,14.25,0.315,13.75,0.75
2015,2,Lenoir-Rhyne,1170,,9-7,6.69,10.94,0.884,0.502,34.0,0.607,0.265,,19.5,8.19,9.75,3.06,12.81,0.312,15.44,0.563
2015,2,Limestone,1174,,20-1,9.24,9.05,0.896,0.716,41.24,0.737,0.438,,26.29,8.67,7.48,9.57,17.05,0.371,16.62,0.952
2015,2,Lincoln Memorial,1176,,4-10,4.5,9.21,0.812,0.458,32.21,0.787,0.167,,13.14,12.0,9.29,,8.64,0.257,19.07,0.286
2015,2,Mars Hill,1199,,10-6,7.88,6.63,0.852,0.486,31.69,0.823,0.327,,21.94,13.0,9.06,5.0,14.06,0.414,15.81,0.625
2015,2,Mount Olive,1245,,11-5,5.69,6.75,0.854,0.552,32.13,0.709,0.224,,17.25,11.13,9.0,,11.56,0.324,15.94,0.688
2015,2,Wheeling,12799,,8-6,5.57,8.29,0.941,0.588,30.43,0.815,0.286,,18.29,10.64,8.93,3.79,12.71,0.332,15.43,0.571
2015,2,Tusculum,12830,,5-8,5.77,6.31,0.85,0.46,31.08,0.757,0.388,,15.69,11.08,10.69,,9.92,0.276,17.0,0.385
2015,2,Post,1318,,6-8,4.14,8.0,0.806,0.373,29.93,0.629,0.164,,13.93,12.86,10.71,,9.79,0.276,19.0,0.429
2015,2,Rockhurst,1328,,7-5,7.0,6.67,0.895,0.584,30.83,0.803,0.275,,20.25,9.08,9.75,3.5,13.25,0.275,17.17,0.583
2015,2,Lees-McRae,13302,,2-14,4.44,6.06,0.735,0.349,26.44,0.674,0.132,,11.88,12.81,18.19,,7.44,0.272,18.31,0.125
2015,2,Saint Rose,1347,,4-10,4.43,7.0,0.848,0.428,28.07,0.627,0.269,,12.43,14.36,10.29,,8.0,0.251,17.79,0.286
2015,2,Wingate,1462,,6-10,6.5,4.88,0.842,0.559,37.5,0.685,0.317,,17.38,11.69,12.0,,10.88,0.313,16.25,0.375
